№ п/п;Код ОВД;Год;Номер документа;Номер престу;Дата постановки в ИЦ;Текст решения;Дата решения;Фамилия сл-ля;Шифр докумен;Дата создания записи;Код принятого решения;Кто принял решение (код);Сообщение / Основание;Тип записи (Дисклеймер ИИ)
19;1;1999;1895;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
20;1;1999;1905;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
21;1;1999;1912;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
22;1;1999;1942;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
23;1;1999;1988;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
24;1;1999;2008;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
25;1;1999;2032;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
26;1;1999;2105;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;АФАНОСЬЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
27;1;1999;2125;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
28;1;1999;2127;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
29;1;1999;2307;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
30;1;1999;2313;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
31;1;1999;2393;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
32;1;1999;2593;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
33;1;1999;2727;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
34;1;1999;2752;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
35;1;1999;2763;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
36;1;1999;2886;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
37;1;1999;2958;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
38;1;1999;2971;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
39;1;1999;2975;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
40;1;1999;3047;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
41;1;1999;3097;1;31.05.2016;Возобн.приост.ст208ч.1п.1;20.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
42;1;1999;3172;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
43;1;1999;3445;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
44;1;1999;3520;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
45;1;1999;3602;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;14.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
46;1;1999;3611;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
47;1;1999;3902;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
48;1;1999;3952;1;31.05.2016;Возобн.приост.ст208ч.1п.1;17.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
49;1;1999;4105;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;27.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
50;1;1999;4699;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;27.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
51;1;1999;8140;1;31.05.2016;Возобн.приост.ст208ч.1п.1;30.04.2016;ИАРДАН;3;02.06.2016;174;1;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
52;1;1999;68289;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;27.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
53;1;1999;68332;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;27.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
54;1;1999;68339;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;27.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
55;1;2000;1404;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
56;1;2000;1413;1;31.05.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
57;1;2000;1425;1;31.05.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;15.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
58;1;2000;1435;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
59;1;2000;1444;1;27.05.2016;Возобн.приост.ст208ч.1п.1;16.05.2016;ШЕЛОМИНЦЕВА;3;15.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
60;1;2000;1445;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
61;1;2000;14425;1;31.05.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;31.05.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
62;1;2000;18682;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
63;1;2000;18703;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
64;1;2000;59695;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
65;1;2000;60619;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
66;1;2000;60854;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
67;1;2000;61044;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
68;1;2000;61264;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
69;1;2000;61381;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
70;1;2000;61523;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
71;1;2000;62195;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
72;1;2000;63047;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
73;1;2000;63504;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
74;1;2000;63759;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
75;1;2000;64019;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
76;1;2000;64134;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
77;1;2000;67620;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
78;1;2000;67702;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
79;1;2000;67926;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
80;1;2001;18703;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;17.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
81;1;2001;18715;1;15.06.2016;Возобн.приост.ст208ч.1п.1;10.06.2016;ШЕЛОМИНЦЕВА;3;01.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
82;1;2001;18830;1;14.06.2016;Возобн.приост.ст208ч.1п.1;10.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
83;1;2001;18896;1;01.06.2016;Возобн.приост.ст208ч.1п.1;21.05.2016;ШЕЛОМИНЦЕВА;3;06.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
84;1;2001;18924;1;15.06.2016;Возобн.приост.ст208ч.1п.1;10.06.2016;ШЕЛОМИНЦЕВА;3;01.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
85;1;2001;18931;1;15.06.2016;Возобн.приост.ст208ч.1п.1;10.06.2016;ШЕЛОМИНЦЕВА;3;01.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
86;1;2001;18975;1;15.06.2016;Возобн.приост.ст208ч.1п.1;10.06.2016;ШЕЛОМИНЦЕВА;3;01.07.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
87;1;2001;19005;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
88;1;2001;19156;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
89;1;2001;19157;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
90;1;2001;19185;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
91;1;2001;19186;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
92;1;2001;19216;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
93;1;2001;19275;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
94;1;2001;19301;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
95;1;2001;19386;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
96;1;2001;19402;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
97;1;2001;19428;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
98;1;2001;19454;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
99;1;2001;19455;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
100;1;2001;19485;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
101;1;2001;19728;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
102;1;2001;19750;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
103;1;2001;19755;1;14.06.2016;Возобн.приост.ст208ч.1п.1;09.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
104;1;2001;19823;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
105;1;2001;19864;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
106;1;2001;20156;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
107;1;2001;20173;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
108;1;2001;20215;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
109;1;2001;20261;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
110;1;2001;21715;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
111;1;2001;21740;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
112;1;2001;21787;1;07.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;07.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
113;1;2001;23750;1;14.06.2016;Возобн.приост.ст208ч.1п.1;04.06.2016;ШЕЛОМИНЦЕВА;3;16.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
114;1;2002;170;1;18.07.2016;Возобн.приост.ст208ч.1п.1;16.12.2016;ОСИПАВА;3;19.07.2016;174;5;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
115;1;2002;387;1;08.06.2016;Возобн.приост.ст208ч.1п.1;22.05.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
116;1;2002;393;1;08.06.2016;Возобн.приост.ст208ч.1п.1;23.05.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
117;1;2002;838;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
118;1;2002;851;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
119;1;2002;1515;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
120;1;2002;1516;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
121;1;2002;1845;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
122;1;2002;1855;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
123;1;2002;2523;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
124;1;2002;2556;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;17.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
125;1;2002;2691;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
126;1;2002;2867;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
127;1;2002;2924;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
128;1;2002;3031;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
129;1;2002;3061;1;21.03.2016;Возобн.приост.ст208ч.1п.2;15.03.2016;РАЗМАХНЕНА;3;23.03.2016;172;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
130;1;2002;3176;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
131;1;2002;3352;1;08.06.2016;Возобн.приост.ст208ч.1п.1;03.06.2016;ШЕЛОМИНЦЕВА;3;10.06.2016;174;2;;Сгенерировано ИИ (модифицировано, любые совпадения случайны)
